Distance(um),Value
0,112.7337
0.3559,109.2005
0.7117,106.1181
1.0676,110.4641
1.4235,112.6052
1.7794,112.9692
2.1352,112.5543
2.4911,111.8115
2.847,112.186
3.2028,111.0937
3.5587,105.0745
3.9146,105.0341
4.2705,105.2832
4.6263,103.9196
4.9822,106.426
5.3381,105.1313
5.694,106.5526
6.0498,112.3333
6.4057,110.0039
6.7616,110.0629
7.1174,111.7561
7.4733,110.9946
7.8292,105.2664
8.1851,102.0519
8.5409,100.2493
8.8968,108.5277
9.2527,111.75
9.6085,105.8663
9.9644,101.2698
10.3203,107.8882
10.6762,109.0222
11.032,104.8043
11.3879,102.4545
11.7438,108.5342
12.0996,110.5063
12.4555,116.2517
12.8114,125.0164
13.1673,120.3735
13.5231,111.2409
13.879,112.5285
14.2349,108.7222
14.5907,103.8825
14.9466,111.6996
15.3025,113.5657
15.6584,110.5009
16.0142,113.1164
16.3701,115.926
16.726,108.3562
17.0819,106.46
17.4377,114.1029
17.7936,111.9175
18.1495,114.7409
18.5053,111.5932
18.8612,106.4244
19.2171,107.4532
19.573,101.7895
19.9288,100.7241
20.2847,110.336
20.6406,111.5626
20.9964,113.1917
21.3523,111.8358
21.7082,116.3021
22.0641,110.9811
22.4199,110.9277
22.7758,116.573
23.1317,119.2259
23.4875,113.7079
23.8434,116.4603
24.1993,118.2647
24.5552,117.6831
24.911,120.9936
25.2669,124.7819
25.6228,123.5211
25.9786,126.4771
26.3345,124.0777
26.6904,129.4778
27.0463,128.0834
27.4021,129.0511
27.758,122.6268
28.1139,121.8053
28.4698,125.2929
28.8256,127.0136
29.1815,122.2406
29.5374,129.1758
29.8932,134.0665
30.2491,130.9948
30.605,125.5461
30.9609,125.8364
31.3167,123.8857
31.6726,127.5196
32.0285,129.7899
32.3843,135.2914
32.7402,135.6363
33.0961,134.5064
33.452,131.319
33.8078,133.2167
34.1637,132.6025
34.5196,138.9382
34.8754,135.3993
35.2313,133.0429
35.5872,139.8145
35.9431,137.6058
36.2989,136.679
36.6548,145.5955
37.0107,146.3838
37.3665,138.016
37.7224,143.7841
38.0783,140.654
38.4342,139.0809
38.79,133.8887
39.1459,138.9579
39.5018,138.2523
39.8577,136.1201
40.2135,133.9611
40.5694,132.6486
40.9253,131.9464
41.2811,134.7271
41.637,133.0025
41.9929,137.9685
42.3488,141.4784
42.7046,138.566
43.0605,143.761
43.4164,138.0372
43.7722,136.4016
44.1281,136.4658
44.484,130.4278
44.8399,128.1656
45.1957,127.4817
45.5516,135.6832
45.9075,137.842
46.2633,132.6591
46.6192,136.1064
46.9751,137.3506
47.331,133.1031
47.6868,134.1908
48.0427,132.7417
48.3986,136.2449
48.7544,141.4588
49.1103,142.8295
49.4662,136.6821
49.8221,129.8152
50.1779,133.527
50.5338,137.884
50.8897,138.0139
51.2456,139.9686
51.6014,138.2336
51.9573,137.0799
52.3132,134.8004
52.669,127.7857
53.0249,134.2168
53.3808,139.7632
53.7367,132.6367
54.0925,140.2728
54.4484,138.2268
54.8043,139.1266
55.1601,139.0052
55.516,131.5294
55.8719,133.1093
56.2278,133.2356
56.5836,137.2093
56.9395,137.781
57.2954,133.9172
